price,geometry
6.4e+08,-74.07909|4.717989
1.75e+08,-74.034|4.76
3.99e+08,-74.11|4.588
3.6e+09,-74.08338|4.666264
5e+08,-74.089|4.733
2.6e+08,-74.04681|4.768361
2.8e+09,-74.027|4.685
8.75e+08,-74.03502|4.697425
2.3e+09,-74.03451|4.716734
4.35e+08,-74.11119|4.658833
6.8e+08,-74.03351|4.700977
1.23e+09,-74.08106|4.717339
6.4e+08,-74.04647|4.69331
4.2e+08,-74.06122|4.63738
2.4e+08,-74.137|4.666
1.7e+08,-74.088|4.729
149900000,-74.206|4.609
4.5e+08,-74.03029|4.703032
8.3e+08,-74.05361|4.649675
5.5e+08,-74.057|4.758
3.3e+08,-74.04262|4.728067
8.85e+08,-74.054|4.74
399900000,-74.145|4.68
8.99e+08,-74.0478|4.657015
2.95e+08,-74.03867|4.728584
4.3e+08,-74.07459|4.620229
860444000,-74.02817|4.70291
3.5e+08,-74.039|4.702
2.39e+08,-74.08532|4.751881
4.8e+08,-74.07605|4.706417
7.2e+08,-74.03598|4.694465
5.68e+08,-74.05942|4.642599
3.1e+08,-74.048|4.727
129900000,-74.094|4.716
4.75e+08,-74.05322|4.68312
5.7e+08,-74.03082|4.706678
1.87e+08,-74.09147|4.559199
1.95e+08,-74.05574|4.668717
1.15e+09,-74.04346|4.692504
3.7e+08,-74.048|4.72
1.29e+09,-74.03924|4.716067
1.9e+08,-74.103|4.722
1.6e+09,-74.07145|4.715797
3.6e+08,-74.04098|4.75481
1.9e+08,-74.125|4.722
3.5e+08,-74.04|4.725
5.6e+08,-74.043|4.685789
8.2e+08,-74.08|4.629
7.5e+08,-74.057|4.741
9e+08,-74.05319|4.677334
1.1e+09,-74.1272|4.712455
1.8e+08,-74.156|4.642
7.374e+09,-74.03651|4.768858
4.45e+08,-74.03678|4.730518
3.2e+08,-74.11739|4.669539
1.1e+09,-74.074|4.734
1.2e+08,-74.06884|4.619873
1.9e+07,-74.12786|4.648282
3.6e+09,-74.03828|4.742247
4e+08,-74.052|4.663
4.3e+08,-74.12674|4.744401
4.9e+08,-74.05643|4.741011
1.55e+08,-74.13054|4.717615
4.2e+08,-74.138|4.549
3.45e+08,-74.075|4.733
3.95e+08,-74.04366|4.702073
2.25e+08,-74.151|4.654
304467638,-74.06514|4.645771
3.8e+08,-74.04985|4.681995
1.2e+09,-74.04741|4.689362
2.3e+09,-74.053|4.679
8.5e+08,-74.05118|4.700044
2.9e+08,-74.095|4.633
1e+09,-74.03983|4.741847
3.6e+08,-74.067|4.648
8.5e+08,-74.05217|4.695683
5.5e+08,-74.03937|4.704917
1.9e+09,-74.09188|4.691498
2.45e+08,-74.04|4.759
3.98e+08,-74.057|4.726
3.9e+08,-74.059|4.662
3.85e+08,-74.10182|4.670333
6.95e+08,-74.045|4.678
6e+08,-74.092|4.7
2.4e+08,-74.12132|4.713768
4.65e+08,-74.06521|4.645572
3372500000,-74.03056|4.698641
5.2e+08,-74.0601|4.738622
1e+09,-74.064|4.727
8e+08,-74.117|4.649
1779350000,-74.11474|4.667961
6.3e+08,-74.08487|4.648849
4.5e+08,-74.04543|4.676605
3.5e+08,-74.19813|4.622398
84900000,-74.166|4.642
7.5e+08,-74.051|4.685
2.55e+08,-74.03914|4.722862
3.55e+08,-74.03573|4.721076
5.7e+08,-74.03|4.7
9e+08,-74.06597|4.671202
1.56e+10,-74.02463|4.728144
1.25e+09,-74.09141|4.639865
9.3e+08,-74.08175|4.708213
1.3e+09,-74.04649|4.724156
2.8e+08,-74.11|4.582
1.75e+09,-74.09904|4.693447
4e+08,-74.10999|4.671426
1.4e+09,-74.04878|4.658586
1.89e+09,-74.04695|4.662872
1.19e+08,-74.147|4.663
4.2e+08,-74.117|4.515
1.35e+08,-74.17567|4.627094
8e+07,-74.126|4.467
3.99e+08,-74.07169|4.704094
2.5e+08,-74.098|4.604
6e+08,-74.154|4.633
6492255250,-74.047|4.686
5.29e+08,-74.04811|4.722641
5.6e+08,-74.033|4.703
9.2e+08,-74.09123|4.652111
2.6e+09,-74.066|4.694
1.65e+08,-74.07717|4.678277
695365000,-74.04939|4.722924
4.5e+08,-74.0677|4.668011
3.72e+10,-74.054|4.704
5.7e+08,-74.06506|4.73971
2.4e+09,-74.21875|4.589723
2e+09,-74.075|4.633
4.95e+08,-74.142|4.596
2.8e+08,-74.03561|4.740502
169900000,-74.081|4.565
7.5e+09,-74.1384|4.670359
449900000,-74.099|4.563
2.205e+09,-74.06306|4.645837
2.2e+08,-74.04882|4.72887
3.6e+08,-74.065|4.695
3.15e+08,-74.06152|4.738216
5.17e+08,-74.0444|4.684924
5.3e+08,-74.043|4.716
3.98e+08,-74.11105|4.671103
8.5e+08,-74.081|4.601
4.4e+08,-74.05071|4.653101
3.3e+08,-74.03747|4.697873
1.65e+09,-74.04441|4.690899
1.39e+08,-74.09415|4.572445
1.25e+08,-74.084|4.74
5.68e+08,-74.06155|4.695102
298900000,-74.195|4.612
2.8e+08,-74.0296|4.728576
2.7e+08,-74.03397|4.718273
5.5e+08,-74.06034|4.665878
3.25e+08,-74.06553|4.742478
1.5e+09,-74.13261|4.614753
1.8e+08,-74.13625|4.724256
1.8e+08,-74.186|4.591
8.5e+08,-74.11372|4.653862
1.2e+09,-74.07642|4.718129
1.58e+09,-74.047|4.661
3.3e+08,-74.065|4.646
2.68e+08,-74.13678|4.643127
1.2e+09,-74.06802|4.819964
3.7e+08,-74.0356|4.721011
2.45e+08,-74.04345|4.73967
2.4e+08,-74.12863|4.641437
5.3e+08,-74.04543|4.766491
9.25e+08,-74.03169|4.715998
1.199e+09,-74.072|4.657
3e+08,-74.06875|4.618894
5.15e+08,-74.04318|4.717129
4.2e+08,-74.06407|4.632068
1.9e+08,-74.02921|4.756283
1.68e+08,-74.088|4.604
5.17e+08,-74.05251|4.675927
3.7e+08,-74.096|4.658
6e+08,-74.07316|4.72303
5.55e+08,-74.06286|4.723553
2.69e+08,-74.041|4.704
5e+08,-74.07695|4.720064
5.6e+08,-74.05203|4.672941
1.8e+09,-74.059|4.69
5e+07,-74.048|4.581
3e+08,-74.113|4.667
449990000,-74.137|4.605
2.75e+08,-74.132|4.659
3.47e+08,-74.04609|4.72313
3.5e+08,-74.058|4.73423
2.8e+08,-74.128|4.71
4.5e+08,-74.03846|4.728078
6e+08,-74.08553|4.59019
1.98e+08,-74.10035|4.727536
5.5e+07,-74.12379|4.726299
9.29e+08,-74.07469|4.718227
1e+09,-74.044|4.68
3.4e+08,-74.06375|4.731726
5e+08,-74.07743|4.61144
5.1e+08,-74.049|4.716
9e+10,-74.0851|4.683468
5.2e+08,-74.059|4.643
1.29e+09,-74.05|4.658
1.9e+08,-74.073|4.716
1.296e+09,-74.04107|4.702097
1.87e+08,-74.069|4.613338
5.6e+08,-74.08439|4.744756
1.05e+09,-74.049|4.65
4.5e+08,-74.15432|4.686231
8e+07,-74.089|4.551
7.5e+08,-74.05418|4.689706
8.2e+08,-74.044|4.702
3.4e+08,-74.061|4.639
8.5e+08,-74.07079|4.731361
6.3e+08,-74.0358|4.725806
1.1e+09,-74.0608|4.657808
1.9e+09,-74.062|4.635
2.4e+07,-74.04806|4.751762
9e+08,-74.0333|4.701365
2.5e+08,-74.08656|4.73871
1.35e+09,-74.052|4.669
1.29e+09,-74.08413|4.720871
3.1e+08,-74.0311|4.723192
4.2e+08,-74.066|4.709
